source_file,page,section,source_table_id,row_in_table,column_count,state_context,first_cell,cells_json
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-0.md,1,4,,DENOMINAÇÃO DAS EMPRESAS DÉNOMINATION DES ENTREPRISES,"[""DENOMINAÇÃO DAS EMPRESAS DÉNOMINATION DES ENTREPRISES"", ""MUNICIPIOS MUNICIPES"", ""DENOMINAÇÃO DAS USINAS DÉNOMINATION DES USINES"", ""Anno da instalação Année de l'installation""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-1.md,1,4,Alagoas,Nova Empresa de Luz Electrica,"[""Nova Empresa de Luz Electrica"", ""Maceió"", ""—"", ""1907""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-1.md,2,4,Alagoas,Empresa Penedense de Luz e Agua,"[""Empresa Penedense de Luz e Agua"", ""Penedo"", ""—"", ""1916""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-1.md,3,4,Alagoas,Empresa Luz e Força São Miguel,"[""Empresa Luz e Força São Miguel"", ""São Miguel de Campos"", ""—"", ""1917""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-1.md,4,4,Alagoas,Empresa Luz Electrica de Victoria,"[""Empresa Luz Electrica de Victoria"", ""Victoria"", ""—"", ""1920""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-2.md,1,4,Amazonas,Empresa Electrica Municipal,"[""Empresa Electrica Municipal"", ""Humaythá"", ""—"", ""1905""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-2.md,2,4,Amazonas,"The Manáos Tramways and Light Company, Limited","[""The Manáos Tramways and Light Company, Limited"", ""Manáos"", ""Central"", ""1910""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-2.md,3,4,Amazonas,Madeira-Mamoré Railway Company,"[""Madeira-Mamoré Railway Company"", ""Porto Velho"", ""—"", ""1918""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,1,4,Bahia,Antonio Balbino de Carvalho,"[""Antonio Balbino de Carvalho"", ""Barreiras"", ""Carvalho"", ""1920""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,2,4,Bahia,Companhia Brasileira de Energia Electrica,"[""Companhia Brasileira de Energia Electrica"", ""Cachoeira"", ""Bananeiras"", ""1920""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,3,4,Bahia,Empresa Industrial Conquistense,"[""Empresa Industrial Conquistense"", ""Conquista"", ""—"", ""1920""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,4,4,Bahia,Companhia Luz e Força,"[""Companhia Luz e Força"", ""Ilhéos"", ""—"", ""1916""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,5,4,Bahia,Companhia Distribuidora de Luz e Força do Estado da Bahia,"[""Companhia Distribuidora de Luz e Força do Estado da Bahia"", ""Santo Amaro"", ""—"", ""1920""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,6,4,Bahia,Municipalidade de São Salvador,"[""Municipalidade de São Salvador"", ""São Salvador"", ""—"", ""1907""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,7,4,Bahia,Companhia Linha Circular de Carris da Bahia,"[""Companhia Linha Circular de Carris da Bahia"", ""São Salvador"", ""Preguiça"", ""1907""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-3.md,8,4,Bahia,Companhia Valença Industrial,"[""Companhia Valença Industrial"", ""Valença"", ""Nossa Senhora do Amparo"", ""1913""]"
all_tables.pdf,1,I_principaes_condicoes_technicas,tbl-4.md,1,4,Ceará,Orphanato Casa de São Francisco,"[""Orphanato Casa de São Francisco"", ""Canindé"", ""São Francisco"", ""1918""]"
